contest,undervotes_in_center,undervotes_by_mail,overvotes_in_center,overvotes_by_mail,undervotes_total,overvotes_total,unqualified_write_ins_in_center,unqualified_write_ins_by_mail,unqualified_write_ins_total
U.S. REPRESENTATIVE DISTRICT 2 - Non-Partisan,42,335,0,0,377,0,77,564,641
U.S. REPRESENTATIVE DISTRICT 2 - Non-Partisan,7,58,0,0,65,0,8,104,112
U.S. REPRESENTATIVE DISTRICT 2 - Non-Partisan,6,56,0,0,62,0,26,98,124
U.S. REPRESENTATIVE DISTRICT 2 - Non-Partisan,3,17,0,0,20,0,2,23,25
U.S. REPRESENTATIVE DISTRICT 2 - Non-Partisan,133,1091,72,1087,1224,1159,11,46,57
U.S. REPRESENTATIVE DISTRICT 2 - Non-Partisan,175,1465,7,41,1640,48,14,76,90
U.S. REPRESENTATIVE DISTRICT 2 - Non-Partisan,229,1458,3,8,1687,11,17,104,121
